	h	1193	0	0
	h	1193	3	0
	h	1420	0	0
	h	1420	3	0
开始	p	1875	3	113
持续	s	1988	3	-1
持续	p	1988	2	114
结束	s	2102	2	-1
	h	2329	0	0
	s	2556	2	1
开始	p	2784	0	113
持续	s	2897	0	1
持续	p	2897	1	114
结束	s	3011	1	1
	h	3238	3	0
开始	p	3693	3	113
持续	s	3806	3	-1
持续	p	3806	2	114
结束	s	3920	2	-1
开始	s	4147	0	1
持续	p	4147	1	114
持续	s	4261	1	-1
持续	p	4261	0	114
持续	s	4375	0	1
持续	p	4375	1	113
持续	s	4488	1	-1
持续	p	4488	0	114
持续	s	4602	0	1
持续	p	4602	1	113
结束	s	4715	1	-1
	h	4829	2	0
	h	4829	3	0
	h	5056	2	0
	h	5056	3	0
开始	p	5511	0	114
持续	s	5625	0	1
持续	p	5625	1	113
结束	s	5738	1	1
	h	5965	3	0
	s	6193	1	-1
开始	p	6420	3	114
持续	s	6534	3	-1
持续	p	6534	2	113
结束	s	6647	2	-1
	h	6875	0	0
开始	p	7329	0	114
持续	s	7443	0	1
持续	p	7443	1	113
结束	s	7556	1	1
开始	s	7784	3	-1
持续	p	7784	2	114
持续	s	7898	2	1
持续	p	7898	3	114
持续	s	8012	3	-1
持续	p	8012	2	113
持续	s	8125	2	1
持续	p	8125	3	114
持续	s	8239	3	-1
持续	p	8239	2	113
结束	s	8352	2	1
	h	8465	0	0
	h	8465	1	0
	h	8693	0	0
	h	8693	1	0
	h	8920	0	0
	h	9147	0	0
开始	p	9147	3	114
持续	s	9261	3	-1
持续	p	9261	2	114
结束	s	9375	2	-1
	h	9375	0	0
	h	9602	0	0
	h	9602	1	0
	h	9829	0	0
	h	10056	0	0
开始	p	10056	1	114
持续	s	10170	1	1
持续	p	10170	2	114
结束	s	10284	2	1
	h	10284	0	0
	h	10511	0	0
	h	10511	3	0
	h	10738	0	0
	h	10965	0	0
开始	p	10965	3	114
持续	s	11079	3	-1
持续	p	11079	2	114
结束	s	11193	2	-1
	h	11193	0	0
	h	11420	0	0
开始	s	11420	2	-1
持续	p	11420	1	114
持续	s	11534	1	1
持续	p	11534	2	114
持续	s	11648	2	-1
持续	p	11648	1	113
持续	s	11761	1	1
持续	p	11761	2	114
持续	s	11875	2	-1
持续	p	11875	1	113
结束	s	11988	1	1
	h	11647	0	0
	h	11875	0	0
	h	12102	0	0
	h	12102	3	0
	h	12329	0	0
	h	12329	3	0
	h	12556	0	0
	h	12784	0	0
开始	p	12784	3	113
持续	s	12897	3	-1
持续	p	12897	2	114
结束	s	13011	2	-1
	h	13011	0	0
	h	13238	0	0
	h	13238	1	0
	h	13465	0	0
	h	13693	0	0
	h	13693	3	0
	h	13806	1	0
	h	13806	2	0
	h	13920	0	0
	h	13920	3	0
	h	14375	0	0
	h	14375	1	0
	h	14375	2	0
	h	14375	3	0
	h	14829	0	0
	h	14829	1	0
	h	14829	2	0
	h	14829	3	0
	h	15284	0	0
	h	15284	1	0
	h	15284	2	0
	h	15284	3	0
	p	15738	0	1137
	p	15738	3	1137
开始	s	17102	0	1
结束	p	17102	1	284
开始	s	17102	3	-1
结束	p	17102	2	284
	h	17556	3	0
	h	17784	3	0
	h	18011	1	0
	h	18238	1	0
	h	18465	2	0
	h	18693	2	0
	p	18920	0	227
	h	19375	1	0
	h	19602	1	0
	h	19829	2	0
	h	20056	2	0
